Title                                                           04.02.2026 15:08
________________________________________________________________________________

Title


Curve Name:
  $D60-TN240-V90-TB100 
  Sample Weight
Curve Values:
          Index              t             Ts             Tr          Value
                           [s]           [°C]           [°C]           [mg]
              0              0        36.8988             30         4.5594
              1              1        36.8945        30.1667        4.55911
              2              2        36.9163        30.3333        4.55893
              3              3        36.9602           30.5        4.55882
              4              4        37.0353        30.6667        4.55876
              5              5        37.1208        30.8333        4.55882
              6              6        37.2167             31        4.55895
              7              7        37.3373        31.1667        4.55911
              8              8         37.454        31.3333        4.55957
              9              9        37.5942           31.5        4.55983
             10             10        37.7291        31.6667        4.56004
             11             11        37.8704        31.8333        4.56022
             12             12        38.0196             32        4.56029
             13             13        38.1792        32.1667        4.56037
             14             14        38.3336        32.3333        4.56042
             15             15        38.4867           32.5        4.56044
             16             16        38.6514        32.6667        4.56036
             17             17        38.8149        32.8333        4.56033
             18             18        38.9783             33        4.56028
             19             19        39.1496        33.1667        4.56023
             20             20        39.3234        33.3333        4.56015
             21             21        39.4907           33.5        4.56009
             22             22        39.6684        33.6667        4.56003
             23             23         39.837        33.8333        4.55997
             24             24        39.9926             34        4.55992
             25             25        40.1807        34.1667        4.55987
             26             26        40.3531        34.3333        4.55982
             27             27         40.523           34.5        4.55976
             28             28        40.7032        34.6667        4.55972
             29             29        40.8717        34.8333        4.55968
             30             30        41.0416             35        4.55964
             31             31        41.2218        35.1667        4.55959
             32             32        41.3968        35.3333        4.55956
             33             33        41.5809           35.5        4.55953
             34             34         41.752        35.6667        4.55949
             35             35        41.9218        35.8333        4.55944
             36             36        42.0902             36         4.5594
             37             37        42.2717        36.1667        4.55936
             38             38        42.4558        36.3333        4.55932
             39             39        42.6203           36.5        4.55927
             40             40        42.7952        36.6667        4.55923
             41             41        42.9741        36.8333        4.55918
             42             42        43.1425             37        4.55912
             43             43        43.3135        37.1667        4.55906
             44             44        43.4793        37.3333          4.559
             45             45        43.6516           37.5        4.55895
             46             46        43.8291        37.6667         4.5589
             47             47        44.0027        37.8333        4.55885
             48             48        44.1828             38        4.55882
             49             49        44.3329        38.1667        4.55879
             50             50        44.5065        38.3333        4.55876
             51             51        44.6735           38.5        4.55873
             52             52        44.8484        38.6667         4.5587
             53             53        45.0245        38.8333        4.55867
             54             54        45.1694             39        4.55864
             55             55        45.3338        39.1667         4.5586
             56             56        45.5191        39.3333        4.55854
             57             57        45.6783           39.5        4.55849
             58             58         45.844        39.6667        4.55844
             59             59        46.0084        39.8333        4.55839
             60             60        46.1766             40        4.55832
             61             61        46.3436        40.1667        4.55826
             62             62        46.5041        40.3333        4.55821
             63             63        46.6672           40.5        4.55816
             64             64         46.825        40.6667        4.55812
             65             65         46.992        40.8333        4.55807
             66             66        47.1602             41        4.55802
             67             67        47.3181        41.1667        4.55797
             68             68        47.4824        41.3333        4.55793
             69             69        47.6441           41.5        4.55789
             70             70        47.8163        41.6667        4.55785
             71             71        47.9832        41.8333        4.55781
             72             72        48.1384             42        4.55776
             73             73         48.304        42.1667        4.55771
             74             74        48.4696        42.3333        4.55766
             75             75        48.6326           42.5        4.55761
             76             76        48.7917        42.6667        4.55756
             77             77        48.9508        42.8333        4.55751
             78             78        49.1086             43        4.55747
             79             79        49.2846        43.1667        4.55743
             80             80         49.445        43.3333        4.55739
             81             81        49.6027           43.5        4.55736
             82             82        49.7709        43.6667        4.55733
             83             83        49.9352        43.8333         4.5573
             84             84        50.0864             44        4.55727
             85             85        50.2611        44.1667        4.55723
             86             86        50.4254        44.3333         4.5572
             87             87        50.5896           44.5        4.55717
             88             88        50.7447        44.6667        4.55714
             89             89        50.9038        44.8333        4.55711
             90             90        51.0563             45        4.55708
             91             91         51.227        45.1667        4.55705
             92             92        51.3887        45.3333        4.55702
             93             93        51.5386           45.5        4.55699
             94             94        51.7145        45.6667        4.55697
             95             95        51.8748        45.8333        4.55694
             96             96        52.0455             46        4.55691
             97             97        52.2124        46.1667        4.55687
             98             98        52.3714        46.3333        4.55683
             99             99        52.5238           46.5        4.55679
            100            100        52.6945        46.6667        4.55675
            101            101        52.8561        46.8333        4.55671
            102            102        53.0203             47        4.55667
            103            103        53.1897        47.1667        4.55663
            104            104        53.3383        47.3333        4.55659
            105            105        53.4947           47.5        4.55656
            106            106         53.668        47.6667        4.55651
            107            107        53.8165        47.8333        4.55647
            108            108        53.9768             48        4.55642
            109            109        54.1396        48.1667        4.55638
            110            110        54.2999        48.3333        4.55634
            111            111        54.4732           48.5         4.5563
            112            112        54.6308        48.6667        4.55626
            113            113        54.7911        48.8333        4.55621
            114            114          54.95             49        4.55618
            115            115        55.1051        49.1667        4.55613
            116            116        55.2705        49.3333        4.55609
            117            117        55.4321           49.5        4.55603
            118            118        55.5845        49.6667        4.55598
            119            119        55.7564        49.8333        4.55592
            120            120        55.9141             50        4.55587
            121            121          56.06        50.1667        4.55582
            122            122        56.2319        50.3333        4.55575
            123            123        56.3922           50.5        4.55569
            124            124        56.5602        50.6667        4.55564
            125            125        56.7178        50.8333        4.55558
            126            126         56.878             51        4.55551
            127            127        57.0265        51.1667        4.55546
            128            128        57.1828        51.3333        4.55541
            129            129        57.3483           51.5        4.55536
            130            130        57.5033        51.6667        4.55532
            131            131        57.6713        51.8333        4.55528
            132            132        57.8224             52        4.55524
            133            133        57.9878        52.1667         4.5552
            134            134        58.1441        52.3333        4.55517
            135            135         58.303           52.5        4.55513
            136            136        58.4567        52.6667        4.55509
            137            137         58.613        52.8333        4.55505
            138            138         58.781             53          4.555
            139            139        58.9372        53.1667        4.55495
            140            140        59.0948        53.3333         4.5549
            141            141        59.2576           53.5        4.55485
            142            142        59.4035        53.6667        4.55479
            143            143        59.5689        53.8333        4.55473
            144            144        59.7212             54        4.55467
            145            145        59.8762        54.1667        4.55461
            146            146        60.0312        54.3333        4.55454
            147            147        60.1888           54.5        4.55448
            148            148        60.3554        54.6667        4.55441
            149            149        60.5091        54.8333        4.55435
            150            150        60.6654             55        4.55429
            151            151        60.8177        55.1667        4.55424
            152            152        60.9753        55.3333        4.55418
            153            153        61.1276           55.5        4.55411
            154            154         61.293        55.6667        4.55404
            155            155         61.448        55.8333        4.55395
            156            156        61.6068             56        4.55388
            157            157          61.75        56.1667         4.5538
            158            158         61.905        56.3333        4.55373
            159            159         62.073           56.5        4.55363
            160            160        62.2253        56.6667        4.55355
            161            161        62.3764        56.8333        4.55347
            162            162        62.5469             57        4.55341
            163            163        62.6967        57.1667        4.55335
            164            164        62.8477        57.3333        4.55329
            165            165        63.0026           57.5        4.55324
            166            166        63.1563        57.6667        4.55318
            167            167        63.3164        57.8333        4.55313
            168            168        63.4648             58        4.55307
            169            169        63.6172        58.1667          4.553
            170            170        63.7643        58.3333        4.55294
            171            171         63.927           58.5        4.55286
            172            172        64.0846        58.6667        4.55279
            173            173        64.2278        58.8333        4.55273
            174            174        64.3762             59        4.55266
            175            175        64.5441        59.1667        4.55259
            176            176        64.6991        59.3333        4.55252
            177            177        64.8553           59.5        4.55246
            178            178         65.018        59.6667        4.55239
            179            179        65.1625        59.8333        4.55233
            180            180        65.3135             60        4.55226
            181            181        65.4646        60.1667        4.55219
            182            182         65.613        60.3333         4.5521
            183            183        65.7627           60.5        4.55201
            184            184        65.9254        60.6667        4.55193
            185            185        66.0686        60.8333        4.55184
            186            186        66.2248             61        4.55174
            187            187        66.3758        61.1667        4.55165
            188            188        66.5255        61.3333        4.55157
            189            189        66.6687           61.5        4.55149
            190            190        66.8354        61.6667        4.55141
            191            191        66.9825        61.8333        4.55132
            192            192        67.1321             62        4.55125
            193            193        67.2949        62.1667        4.55118
            194            194        67.4433        62.3333         4.5511
            195            195        67.5995           62.5        4.55102
            196            196        67.7583        62.6667        4.55095
            197            197        67.9028        62.8333        4.55088
            198            198        68.0473             63        4.55081
            199            199        68.1931        63.1667        4.55074
            200            200        68.3571        63.3333        4.55067
            201            201        68.5094           63.5         4.5506
            202            202        68.6565        63.6667        4.55054
            203            203        68.8062        63.8333        4.55047
            204            204        68.9702             64         4.5504
            205            205        69.1212        64.1667        4.55034
            206            206         69.267        64.3333        4.55027
            207            207        69.4192           64.5        4.55021
            208            208        69.5755        64.6667        4.55015
            209            209        69.7134        64.8333        4.55008
            210            210          69.88             65        4.55002
            211            211         70.031        65.1667        4.54995
            212            212        70.1872        65.3333        4.54988
            213            213        70.3278           65.5        4.54981
            214            214        70.4749        65.6667        4.54975
            215            215        70.6324        65.8333        4.54968
            216            216        70.7899             66        4.54961
            217            217        70.9396        66.1667        4.54955
            218            218        71.0892        66.3333        4.54949
            219            219        71.2363           66.5        4.54942
            220            220        71.3964        66.6667        4.54936
            221            221        71.5539        66.8333         4.5493
            222            222        71.6945             67        4.54923
            223            223        71.8468        67.1667        4.54916
            224            224        72.0004        67.3333        4.54908
            225            225        72.1422           67.5        4.54901
            226            226        72.3023        67.6667        4.54894
            227            227        72.4468        67.8333        4.54887
            228            228        72.5939             68        4.54881
            229            229        72.7448        68.1667        4.54875
            230            230        72.9036        68.3333        4.54869
            231            231        73.0351           68.5        4.54863
            232            232        73.1978        68.6667        4.54858
            233            233        73.3501        68.8333        4.54852
            234            234        73.4997             69        4.54845
            235            235        73.6572        69.1667        4.54838
            236            236        73.8134        69.3333        4.54831
            237            237        73.9488           69.5        4.54824
            238            238        74.1075        69.6667        4.54818
            239            239        74.2624        69.8333        4.54812
            240            240        74.4095             70        4.54806
            241            241        74.5644        70.1667          4.548
            242            242        74.7088        70.3333        4.54794
            243            243        74.8702           70.5        4.54786
            244            244        75.0082        70.6667        4.54779
            245            245        75.1513        70.8333        4.54771
            246            246        75.3062             71        4.54763
            247            247        75.4598        71.1667        4.54756
            248            248        75.6199        71.3333         4.5475
            249            249        75.7747           71.5        4.54743
            250            250        75.9192        71.6667        4.54736
            251            251        76.0715        71.8333        4.54729
            252            252        76.2146             72        4.54722
            253            253        76.3656        72.1667        4.54715
            254            254        76.5283        72.3333        4.54708
            255            255        76.6701           72.5        4.54702
            256            256        76.8133        72.6667        4.54695
            257            257        76.9668        72.8333         4.5469
            258            258        77.1256             73        4.54684
            259            259        77.2688        73.1667        4.54679
            260            260        77.4158        73.3333        4.54675
            261            261         77.572           73.5        4.54672
            262            262        77.7243        73.6667        4.54667
            263            263          77.87        73.8333        4.54662
            264            264        78.0197             74        4.54656
            265            265        78.1694        74.1667         4.5465
            266            266        78.3294        74.3333        4.54645
            267            267        78.4713           74.5         4.5464
            268            268        78.6288        74.6667        4.54635
            269            269        78.7901        74.8333         4.5463
            270            270        78.9268             75        4.54625
            271            271        79.0739        75.1667         4.5462
            272            272        79.2378        75.3333        4.54615
            273            273        79.3784           75.5        4.54609
            274            274        79.5241        75.6667        4.54603
            275            275        79.6764        75.8333        4.54596
            276            276        79.8209             76        4.54589
            277            277        79.9653        76.1667        4.54583
            278            278        80.1163        76.3333        4.54576
            279            279        80.2699           76.5         4.5457
            280            280        80.4273        76.6667        4.54564
            281            281        80.5757        76.8333        4.54558
            282            282        80.7175             77        4.54553
            283            283        80.8724        77.1667        4.54547
            284            284         81.022        77.3333        4.54542
            285            285        81.1808           77.5        4.54537
            286            286        81.3279        77.6667        4.54531
            287            287        81.4775        77.8333        4.54525
            288            288        81.6298             78        4.54519
            289            289        81.7743        78.1667        4.54513
            290            290        81.9213        78.3333        4.54507
            291            291        82.0749           78.5        4.54501
            292            292        82.2297        78.6667        4.54495
            293            293        82.3768        78.8333        4.54489
            294            294        82.5225             79        4.54481
            295            295        82.6761        79.1667        4.54473
            296            296        82.8271        79.3333        4.54466
            297            297        82.9845           79.5        4.54459
            298            298        83.1316        79.6667        4.54452
            299            299        83.2786        79.8333        4.54446
            300            300         83.427             80         4.5444
            301            301        83.5792        80.1667        4.54434
            302            302        83.7328        80.3333        4.54431
            303            303        83.8799           80.5        4.54428
            304            304        84.0282        80.6667        4.54424
            305            305        84.1818        80.8333        4.54421
            306            306        84.3366             81        4.54419
            307            307        84.4902        81.1667        4.54415
            308            308         84.645        81.3333        4.54411
            309            309         84.783           81.5        4.54405
            310            310        84.9365        81.6667        4.54399
            311            311         85.094        81.8333        4.54392
            312            312        85.2436             82        4.54385
            313            313        85.3894        82.1667        4.54378
            314            314        85.5482        82.3333        4.54369
            315            315        85.6913           82.5        4.54363
            316            316        85.8371        82.6667        4.54357
            317            317        85.9906        82.8333        4.54351
            318            318        86.1455             83        4.54346
            319            319        86.3017        83.1667         4.5434
            320            320        86.4552        83.3333        4.54333
            321            321        86.6049           83.5        4.54323
            322            322        86.7649        83.6667        4.54311
            323            323        86.9081        83.8333        4.54293
            324            324        87.0603             84        4.54276
            325            325        87.1983        84.1667        4.54259
            326            326        87.3557        84.3333        4.54242
            327            327         87.508           84.5        4.54219
            328            328        87.6459        84.6667        4.54201
            329            329        87.7904        84.8333        4.54184
            330            330         87.953             85        4.54169
            331            331        88.1066        85.1667        4.54158
            332            332         88.251        85.3333        4.54146
            333            333        88.3942           85.5        4.54136
            334            334        88.5464        85.6667        4.54127
            335            335        88.6922        85.8333         4.5412
            336            336        88.8353             86        4.54112
            337            337        88.9837        86.1667        4.54104
            338            338        89.1359        86.3333        4.54097
            339            339        89.2895           86.5         4.5409
            340            340        89.4365        86.6667        4.54083
            341            341        89.5849        86.8333        4.54077
            342            342         89.745             87        4.54071
            343            343        89.8933        87.1667        4.54065
            344            344        90.0326        87.3333         4.5406
            345            345        90.1926           87.5        4.54055
            346            346        90.3475        87.6667         4.5405
            347            347        90.4958        87.8333        4.54045
            348            348        90.6442             88         4.5404
            349            349        90.7925        88.1667        4.54035
            350            350        90.9278        88.3333         4.5403
            351            351        91.0879           88.5        4.54026
            352            352        91.2389        88.6667        4.54022
            353            353        91.3989        88.8333        4.54017
            354            354        91.5447             89        4.54012
            355            355        91.6891        89.1667        4.54007
            356            356         91.844        89.3333        4.54001
            357            357         91.991           89.5        4.53995
            358            358        92.1407        89.6667        4.53989
            359            359        92.2916        89.8333        4.53982
            360            360        92.4426             90        4.53974
            361            361        92.5883        90.1667        4.53966
            362            362         92.738        90.3333        4.53959
            363            363        92.8967           90.5        4.53951
            364            364         93.049        90.6667        4.53944
            365            365        93.2091        90.8333        4.53938
            366            366        93.3457             91        4.53932
            367            367        93.4953        91.1667        4.53926
            368            368         93.645        91.3333        4.53921
            369            369        93.8037           91.5        4.53916
            370            370        93.9482        91.6667         4.5391
            371            371        94.1017        91.8333        4.53903
            372            372        94.2527             92        4.53896
            373            373        94.4023        92.1667        4.53889
            374            374        94.5624        92.3333        4.53883
            375            375        94.7029           92.5        4.53876
            376            376        94.8565        92.6667        4.53869
            377            377        95.0022        92.8333        4.53862
            378            378        95.1571             93        4.53855
            379            379        95.2976        93.1667        4.53848
            380            380        95.4603        93.3333        4.53842
            381            381        95.6008           93.5        4.53837
            382            382        95.7557        93.6667        4.53832
            383            383        95.9079        93.8333        4.53827
            384            384         96.068             94        4.53823
            385            385        96.2176        94.1667         4.5382
            386            386        96.3608        94.3333        4.53817
            387            387        96.5169           94.5        4.53813
            388            388        96.6666        94.6667        4.53809
            389            389        96.8253        94.8333        4.53806
            390            390        96.9854             95        4.53802
            391            391        97.1286        95.1667        4.53799
            392            392        97.2808        95.3333        4.53796
            393            393        97.4266           95.5        4.53791
            394            394        97.5866        95.6667        4.53788
            395            395        97.7337        95.8333        4.53785
            396            396        97.8768             96        4.53782
            397            397        98.0382        96.1667        4.53778
            398            398        98.1904        96.3333        4.53773
            399            399        98.3427           96.5        4.53768
            400            400        98.4962        96.6667        4.53764
            401            401        98.6459        96.8333        4.53759
