Title                                                           05.02.2026 12:40
________________________________________________________________________________

Title


Curve Name:
  $D90-TN240-V90-TB100
  Sample Weight
Curve Values:
          Index              t             Ts             Tr          Value
                           [s]           [°C]           [°C]           [mg]
              0              0         36.793             30         2.8494
              1              1        36.7991        30.1667        2.84911
              2              2         36.817        30.3333        2.84894
              3              3        36.8674           30.5        2.84884
              4              4        36.9399        30.6667         2.8488
              5              5        37.0358        30.8333        2.84888
              6              6        37.1187             31        2.84902
              7              7        37.2458        31.1667        2.84919
              8              8        37.3573        31.3333        2.84964
              9              9        37.4935           31.5        2.84989
             10             10        37.6167        31.6667        2.85007
             11             11        37.7555        31.8333        2.85022
             12             12         37.906             32        2.85022
             13             13        38.0617        32.1667        2.85026
             14             14          38.22        32.3333        2.85028
             15             15        38.3796           32.5        2.85028
             16             16          38.53        32.6667        2.85019
             17             17        38.7078        32.8333        2.85014
             18             18        38.8699             33        2.85008
             19             19         39.032        33.1667        2.85002
             20             20        39.1981        33.3333        2.84995
             21             21        39.3745           33.5         2.8499
             22             22        39.5444        33.6667        2.84984
             23             23        39.7221        33.8333        2.84979
             24             24         39.892             34        2.84976
             25             25        40.0566        34.1667        2.84971
             26             26        40.2486        34.3333        2.84966
             27             27        40.4289           34.5        2.84961
             28             28        40.5922        34.6667        2.84956
             29             29        40.7751        34.8333        2.84951
             30             30         40.941             35        2.84947
             31             31         41.116        35.1667        2.84943
             32             32        41.3014        35.3333        2.84939
             33             33         41.466           35.5        2.84935
             34             34        41.6501        35.6667        2.84932
             35             35        41.8316        35.8333        2.84928
             36             36        42.0079             36        2.84925
             37             37         42.175        36.1667         2.8492
             38             38        42.3526        36.3333        2.84915
             39             39        42.5236           36.5         2.8491
             40             40        42.6934        36.6667        2.84904
             41             41        42.8657        36.8333        2.84897
             42             42        43.0406             37        2.84891
             43             43        43.2116        37.1667        2.84884
             44             44         43.393        37.3333        2.84876
             45             45        43.5679           37.5         2.8487
             46             46        43.7311        37.6667        2.84864
             47             47        43.8969        37.8333        2.84858
             48             48        44.0757             38        2.84854
             49             49        44.2479        38.1667        2.84849
             50             50        44.4137        38.3333        2.84844
             51             51        44.5925           38.5        2.84839
             52             52        44.7543        38.6667        2.84835
             53             53        44.9252        38.8333        2.84831
             54             54         45.091             39        2.84826
             55             55        45.2515        39.1667        2.84822
             56             56        45.4107        39.3333        2.84817
             57             57        45.5855           39.5        2.84812
             58             58        45.7525        39.6667        2.84806
             59             59        45.9234        39.8333        2.84801
             60             60        46.0878             40        2.84795
             61             61        46.2443        40.1667        2.84789
             62             62        46.4061        40.3333        2.84783
             63             63         46.577           40.5        2.84778
             64             64        46.7439        40.6667        2.84773
             65             65        46.8953        40.8333        2.84768
             66             66        47.0622             41        2.84762
             67             67        47.2253        41.1667        2.84756
             68             68        47.3909        41.3333        2.84751
             69             69        47.5579           41.5        2.84745
             70             70         47.717        41.6667        2.84739
             71             71        47.8839        41.8333        2.84733
             72             72        48.0508             42        2.84727
             73             73        48.2086        42.1667        2.84722
             74             74        48.3716        42.3333        2.84717
             75             75        48.5294           42.5        2.84713
             76             76        48.6924        42.6667         2.8471
             77             77        48.8619        42.8333        2.84706
             78             78        49.0119             43        2.84702
             79             79        49.1801        43.1667        2.84698
             80             80        49.3457        43.3333        2.84693
             81             81        49.5165           43.5        2.84688
             82             82        49.6703        43.6667        2.84683
             83             83        49.8281        43.8333        2.84677
             84             84        49.9975             44        2.84672
             85             85        50.1436        44.1667        2.84667
             86             86        50.3195        44.3333        2.84663
             87             87        50.4851           44.5        2.84659
             88             88        50.6415        44.6667        2.84656
             89             89        50.7941        44.8333        2.84653
             90             90        50.9544             45         2.8465
             91             91        51.1329        45.1667        2.84647
             92             92        51.2998        45.3333        2.84645
             93             93        51.4575           45.5        2.84642
             94             94        51.6152        45.6667        2.84639
             95             95        51.7794        45.8333        2.84636
             96             96         51.941             46        2.84633
             97             97        52.1039        46.1667         2.8463
             98             98         52.259        46.3333        2.84626
             99             99        52.4285           46.5        2.84623
            100            100         52.594        46.6667         2.8462
            101            101        52.7582        46.8333        2.84616
            102            102        52.9236             47        2.84612
            103            103        53.0735        47.1667        2.84608
            104            104         53.239        47.3333        2.84603
            105            105         53.411           47.5        2.84598
            106            106        53.5739        47.6667        2.84592
            107            107        53.7237        47.8333        2.84586
            108            108        53.8957             48         2.8458
            109            109        54.0534        48.1667        2.84574
            110            110        54.2136        48.3333        2.84569
            111            111        54.3765           48.5        2.84564
            112            112        54.5485        48.6667         2.8456
            113            113        54.7114        48.8333        2.84555
            114            114        54.8573             49         2.8455
            115            115         55.024        49.1667        2.84546
            116            116        55.1856        49.3333        2.84543
            117            117         55.338           49.5        2.84539
            118            118        55.5087        49.6667        2.84535
            119            119        55.6572        49.8333         2.8453
            120            120        55.8291             50        2.84525
            121            121        55.9894        50.1667        2.84519
            122            122        56.1418        50.3333        2.84513
            123            123        56.3137           50.5        2.84507
            124            124        56.4727        50.6667        2.84499
            125            125        56.6225        50.8333        2.84493
            126            126        56.7905             51        2.84486
            127            127        56.9429        51.1667         2.8448
            128            128        57.1161        51.3333        2.84475
            129            129        57.2711           51.5        2.84469
            130            130        57.4262        51.6667        2.84464
