Title                                                           03.02.2026 17:28
________________________________________________________________________________

Title


Curve Name:
  $D80-TN220-V70-TB80
  Sample Weight
Curve Values:
          Index              t             Ts             Tr          Value
                           [s]           [°C]           [°C]           [mg]
              0              0        36.7083             30        2.44969
              1              1        36.7196        30.1667        2.44954
              2              2        36.7427        30.3333        2.44944
              3              3        36.7813           30.5        2.44941
              4              4        36.8499        30.6667        2.44935
              5              5        36.9433        30.8333        2.44942
              6              6        37.0405             31        2.44954
              7              7        37.1598        31.1667        2.44968
              8              8        37.2778        31.3333        2.45002
              9              9         37.414           31.5        2.45021
             10             10        37.5476        31.6667        2.45034
             11             11        37.6981        31.8333        2.45043
             12             12        37.8499             32         2.4504
             13             13        38.0108        32.1667         2.4504
             14             14          38.16        32.3333        2.45037
             15             15        38.3287           32.5        2.45032
             16             16        38.4739        32.6667        2.45019
             17             17        38.6465        32.8333        2.45009
             18             18        38.8125             33        2.44999
             19             19        38.9772        33.1667        2.44989
             20             20        39.1498        33.3333         2.4498
             21             21        39.3223           33.5        2.44972
             22             22        39.4974        33.6667        2.44964
             23             23        39.6816        33.8333        2.44955
             24             24        39.8476             34         2.4495
             25             25        40.0304        34.1667        2.44942
             26             26        40.1964        34.3333        2.44935
             27             27        40.3806           34.5        2.44927
             28             28        40.5673        34.6667        2.44919
             29             29         40.728        34.8333        2.44913
             30             30        40.9109             35        2.44906
             31             31        41.0911        35.1667          2.449
             32             32        41.2661        35.3333        2.44896
             33             33        41.4372           35.5        2.44892
             34             34         41.633        35.6667        2.44888
             35             35        41.8002        35.8333        2.44885
             36             36        41.9869             36        2.44883
             37             37        42.1527        36.1667         2.4488
             38             38        42.3303        36.3333        2.44877
             39             39        42.5078           36.5        2.44874
             40             40        42.6763        36.6667        2.44869
             41             41        42.8603        36.8333        2.44865
             42             42          43.03             37         2.4486
             43             43        43.2127        37.1667        2.44855
             44             44        43.3746        37.3333         2.4485
             45             45        43.5521           37.5        2.44846
             46             46        43.7322        37.6667        2.44843
             47             47        43.9058        37.8333         2.4484
             48             48        44.0755             38        2.44838
             49             49        44.2504        38.1667        2.44835
             50             50        44.4122        38.3333         2.4483
             51             51         44.578           38.5        2.44825
             52             52        44.7671        38.6667        2.44819
             53             53        44.9303        38.8333        2.44814
             54             54        45.1025             39        2.44808
             55             55        45.2799        39.1667        2.44802
             56             56        45.4417        39.3333        2.44794
             57             57        45.5931           39.5        2.44788
             58             58        45.7666        39.6667        2.44781
             59             59        45.9414        39.8333        2.44775
             60             60        46.1019             40        2.44767
             61             61        46.2533        40.1667        2.44761
             62             62        46.4242        40.3333        2.44755
             63             63        46.5924           40.5        2.44749
             64             64        46.7477        40.6667        2.44745
             65             65        46.9263        40.8333         2.4474
             66             66        47.0933             41        2.44736
             67             67        47.2537        41.1667        2.44731
             68             68        47.4246        41.3333        2.44727
             69             69         47.585           41.5        2.44723
             70             70        47.7546        41.6667        2.44719
             71             71         47.915        41.8333        2.44714
             72             72        48.0767             42        2.44709
             73             73         48.228        42.1667        2.44705
             74             74        48.4001        42.3333        2.44701
             75             75        48.5709           42.5        2.44697
             76             76        48.7313        42.6667        2.44693
             77             77        48.9073        42.8333        2.44689
             78             78        49.0599             43        2.44685
             79             79        49.2203        43.1667        2.44681
             80             80         49.395        43.3333        2.44677
             81             81         49.558           43.5        2.44673
             82             82         49.717        43.6667        2.44668
             83             83        49.8878        43.8333        2.44663
             84             84        50.0429             44        2.44658
             85             85        50.2085        44.1667        2.44654
             86             86        50.3689        44.3333        2.44649
             87             87        50.5331           44.5        2.44645
             88             88        50.7026        44.6667         2.4464
             89             89        50.8603        44.8333        2.44635
             90             90        51.0232             45        2.44631
             91             91        51.1901        45.1667        2.44627
             92             92        51.3504        45.3333        2.44623
             93             93        51.5263           45.5        2.44619
             94             94        51.6814        45.6667        2.44616
             95             95        51.8431        45.8333        2.44612
             96             96        52.0008             46        2.44609
             97             97        52.1676        46.1667        2.44607
             98             98        52.3344        46.3333        2.44604
             99             99        52.4934           46.5        2.44601
            100            100        52.6654        46.6667        2.44597
            101            101        52.8296        46.8333        2.44594
            102            102        52.9847             47         2.4459
            103            103        53.1463        47.1667        2.44586
            104            104        53.3026        47.3333        2.44581
            105            105         53.472           47.5        2.44576
            106            106        53.6375        47.6667        2.44572
            107            107        53.8017        47.8333        2.44568
            108            108        53.9698             48        2.44564
            109            109         54.117        48.1667        2.44559
            110            110        54.2864        48.3333        2.44555
            111            111        54.4467           48.5        2.44551
            112            112        54.6069        48.6667        2.44548
            113            113        54.7737        48.8333        2.44544
            114            114          54.93             49        2.44541
