Title                                                           04.02.2026 14:04
________________________________________________________________________________

Title


Curve Name:
  $D90-TN220-V70-TB80 
  Sample Weight
Curve Values:
          Index              t             Ts             Tr          Value
                           [s]           [°C]           [°C]           [mg]
              0              0        37.0182             30        3.40941
              1              1        37.0361        30.1667        3.40914
              2              2        37.0553        30.3333        3.40897
              3              3        37.1043           30.5        3.40887
              4              4        37.1782        30.6667        3.40882
              5              5        37.2558        30.8333        3.40887
              6              6        37.3517             31        3.40899
              7              7        37.4659        31.1667        3.40913
              8              8        37.5969        31.3333        3.40954
              9              9        37.7175           31.5        3.40978
             10             10        37.8485        31.6667        3.40996
             11             11        37.9912        31.8333        3.41012
             12             12        38.1338             32        3.41018
             13             13        38.2895        32.1667        3.41025
             14             14        38.4517        32.3333         3.4103
             15             15          38.61           32.5        3.41032
             16             16        38.7591        32.6667        3.41026
             17             17        38.9226        32.8333        3.41023
             18             18        39.0873             33         3.4102
             19             19        39.2559        33.1667        3.41015
             20             20        39.4233        33.3333        3.41009
             21             21        39.5945           33.5        3.41003
             22             22        39.7644        33.6667        3.40998
             23             23        39.9395        33.8333        3.40993
             24             24        40.1145             34        3.40987
             25             25        40.2857        34.1667        3.40982
             26             26         40.453        34.3333        3.40977
             27             27        40.6332           34.5        3.40971
             28             28        40.7966        34.6667        3.40968
             29             29        40.9664        34.8333        3.40965
             30             30        41.1557             35        3.40962
             31             31        41.3177        35.1667        3.40959
             32             32        41.4979        35.3333        3.40958
             33             33        41.6782           35.5        3.40956
             34             34         41.844        35.6667        3.40953
             35             35        42.0242        35.8333         3.4095
             36             36         42.207             36        3.40946
             37             37        42.3807        36.1667        3.40943
             38             38         42.553        36.3333        3.40938
             39             39        42.7201           36.5        3.40934
             40             40        42.9016        36.6667        3.40929
             41             41        43.0752        36.8333        3.40925
             42             42        43.2423             37        3.40921
             43             43        43.4159        37.1667        3.40917
             44             44        43.5817        37.3333        3.40914
             45             45        43.7618           37.5        3.40911
             46             46        43.9289        37.6667        3.40908
             47             47        44.0999        37.8333        3.40906
             48             48        44.2761             38        3.40904
             49             49        44.4288        38.1667        3.40901
             50             50        44.5959        38.3333        3.40899
             51             51        44.7707           38.5        3.40896
             52             52        44.9456        38.6667        3.40894
             53             53        45.1126        38.8333        3.40891
             54             54        45.2809             39        3.40888
             55             55         45.448        39.1667        3.40886
             56             56        45.6124        39.3333        3.40885
             57             57        45.7846           39.5        3.40883
             58             58        45.9516        39.6667        3.40882
             59             59        46.1082        39.8333        3.40879
             60             60        46.2778             40        3.40877
             61             61        46.4461        40.1667        3.40874
             62             62        46.6117        40.3333        3.40871
             63             63        46.7696           40.5        3.40867
             64             64        46.9405        40.6667        3.40862
             65             65        47.1178        40.8333        3.40857
             66             66        47.2757             41        3.40853
             67             67        47.4452        41.1667        3.40848
             68             68        47.6174        41.3333        3.40844
             69             69        47.7778           41.5         3.4084
             70             70        47.9421        41.6667        3.40835
             71             71        48.1065        41.8333        3.40831
             72             72        48.2643             42        3.40827
             73             73        48.4377        42.1667        3.40823
             74             74        48.6137        42.3333        3.40819
             75             75        48.7832           42.5        3.40815
             76             76        48.9293        42.6667        3.40811
             77             77        49.0884        42.8333        3.40807
             78             78        49.2514             43        3.40803
             79             79        49.4261        43.1667        3.40799
             80             80         49.593        43.3333        3.40796
             81             81        49.7546           43.5        3.40793
             82             82        49.9293        43.6667         3.4079
             83             83        50.0819        43.8333        3.40787
             84             84        50.2526             44        3.40786
             85             85         50.413        44.1667        3.40783
             86             86        50.5811        44.3333         3.4078
             87             87         50.748           44.5        3.40777
             88             88        50.9044        44.6667        3.40774
             89             89        51.0648        44.8333        3.40771
             90             90        51.2394             45        3.40768
             91             91        51.3906        45.1667        3.40765
             92             92        51.5483        45.3333        3.40762
             93             93          51.71           45.5        3.40758
             94             94        51.8781        45.6667        3.40755
             95             95        52.0488        45.8333        3.40752
             96             96        52.2013             46        3.40749
             97             97         52.372        46.1667        3.40745
             98             98        52.5258        46.3333        3.40742
             99             99        52.6874           46.5        3.40738
            100            100        52.8529        46.6667        3.40734
            101            101        53.0028        46.8333        3.40729
            102            102        53.1748             47        3.40724
            103            103        53.3403        47.1667         3.4072
            104            104        53.5006        47.3333        3.40715
            105            105          53.67           47.5        3.40711
            106            106        53.8302        47.6667        3.40707
            107            107        53.9892        47.8333        3.40703
            108            108        54.1482             48        3.40699
            109            109        54.3058        48.1667        3.40697
            110            110        54.4583        48.3333        3.40695
            111            111        54.6355           48.5        3.40689
            112            112        54.7957        48.6667        3.40676
            113            113        54.9508        48.8333        3.40593
            114            114        55.1045             49        3.40559
            115            115        55.2673        49.1667        3.40535
            116            116        55.4367        49.3333        3.40396
            117            117        55.5852           49.5        3.40285
            118            118        55.7585        49.6667         3.4053
            119            119        55.9057        49.8333        3.40897
            120            120        56.0685             50         3.4118
            121            121        56.2275        50.1667        3.40857
            122            122        56.3812        50.3333        3.40787
            123            123         56.544           50.5        3.40762
            124            124        56.7029        50.6667        3.40725
            125            125        56.8632        50.8333        3.40671
            126            126        57.0169             51        3.40649
            127            127        57.1784        51.1667        3.40631
            128            128         57.336        51.3333        3.40616
            129            129        57.5014           51.5        3.40604
            130            130        57.6525        51.6667        3.40621
            131            131        57.8075        51.8333        3.40623
            132            132        57.9729             52        3.40622
            133            133         58.111        52.1667        3.40622
            134            134        58.2751        52.3333        3.40619
            135            135        58.4379           52.5        3.40617
            136            136        58.5877        52.6667        3.40613
            137            137        58.7427        52.8333         3.4061
            138            138        58.9003             53        3.40605
            139            139        59.0579        53.1667          3.406
            140            140        59.2233        53.3333        3.40595
            141            141        59.3769           53.5         3.4059
            142            142        59.5189        53.6667        3.40583
            143            143        59.6791        53.8333        3.40576
            144            144        59.8288             54         3.4057
            145            145        59.9929        54.1667        3.40563
            146            146        60.1492        54.3333        3.40556
            147            147        60.3068           54.5         3.4055
            148            148        60.4591        54.6667        3.40545
            149            149        60.6115        54.8333         3.4054
            150            150        60.7691             55        3.40536
            151            151        60.9305        55.1667         3.4053
            152            152        61.0751        55.3333        3.40525
            153            153        61.2391           55.5         3.4052
            154            154        61.3967        55.6667        3.40514
            155            155        61.5504        55.8333        3.40509
            156            156        61.6975             56        3.40506
            157            157        61.8473        56.1667        3.40502
            158            158        62.0152        56.3333        3.40498
            159            159        62.1532           56.5        3.40494
            160            160        62.3095        56.6667        3.40491
            161            161         62.467        56.8333        3.40489
            162            162        62.6181             57        3.40486
            163            163        62.7665        57.1667        3.40483
            164            164        62.9202        57.3333        3.40481
            165            165        63.0764           57.5        3.40478
            166            166        63.2353        57.6667        3.40475
            167            167        63.3954        57.8333        3.40472
            168            168        63.5425             58        3.40469
            169            169        63.6949        58.1667        3.40465
            170            170        63.8472        58.3333        3.40462
            171            171        63.9982           58.5        3.40457
            172            172        64.1492        58.6667        3.40452
            173            173         64.299        58.8333        3.40447
            174            174        64.4539             59        3.40442
            175            175        64.6127        59.1667        3.40437
            176            176        64.7742        59.3333        3.40432
            177            177        64.9135           59.5        3.40427
            178            178        65.0723        59.6667        3.40423
            179            179        65.2259        59.8333        3.40419
            180            180        65.3795             60        3.40415
            181            181        65.5266        60.1667         3.4041
            182            182        65.6816        60.3333        3.40405
            183            183        65.8287           60.5        3.40399
            184            184        65.9719        60.6667        3.40394
            185            185        66.1177        60.8333        3.40388
            186            186        66.2791             61        3.40383
            187            187        66.4405        61.1667        3.40377
            188            188        66.5916        61.3333        3.40372
            189            189          66.74           61.5        3.40366
            190            190        66.8858        61.6667         3.4036
            191            191        67.0329        61.8333        3.40354
            192            192        67.1878             62        3.40347
            193            193        67.3427        62.1667         3.4034
            194            194        67.4898        62.3333        3.40334
            195            195        67.6434           62.5        3.40329
            196            196        67.7892        62.6667        3.40323
            197            197        67.9415        62.8333        3.40318
            198            198        68.0964             63        3.40312
            199            199        68.2448        63.1667        3.40306
            200            200        68.3984        63.3333        3.40301
            201            201        68.5455           63.5        3.40296
            202            202        68.7017        63.6667        3.40291
            203            203        68.8527        63.8333        3.40287
            204            204        69.0011             64        3.40282
            205            205        69.1534        64.1667        3.40278
            206            206        69.3083        64.3333        3.40275
            207            207        69.4488           64.5        3.40271
            208            208        69.6102        64.6667        3.40268
            209            209        69.7599        64.8333        3.40263
            210            210        69.9096             65        3.40259
            211            211        70.0645        65.1667        3.40255
            212            212        70.2181        65.3333         3.4025
            213            213        70.3691           65.5        3.40247
            214            214        70.5149        65.6667        3.40243
            215            215        70.6711        65.8333        3.40239
            216            216        70.8142             66        3.40237
            217            217        70.9613        66.1667        3.40234
            218            218        71.1188        66.3333        3.40232
            219            219        71.2594           66.5        3.40229
            220            220        71.4286        66.6667        3.40224
            221            221        71.5692        66.8333        3.40219
            222            222         71.728             67        3.40214
            223            223        71.8634        67.1667        3.40208
            224            224        72.0117        67.3333        3.40203
            225            225        72.1666           67.5        3.40195
            226            226         72.315        67.6667        3.40189
            227            227        72.4712        67.8333        3.40184
            228            228        72.6157             68        3.40179
            229            229        72.7614        68.1667        3.40175
            230            230        72.9228        68.3333        3.40171
            231            231        73.0673           68.5        3.40167
            232            232        73.2131        68.6667        3.40162
            233            233        73.3692        68.8333        3.40158
            234            234        73.5241             69        3.40153
            235            235        73.6712        69.1667        3.40149
            236            236        73.8209        69.3333        3.40144
            237            237        73.9875           69.5        3.40139
            238            238        74.1215        69.6667        3.40133
            239            239        74.2751        69.8333        3.40128
            240            240        74.4221             70        3.40123
            241            241        74.5666        70.1667        3.40118
            242            242        74.7215        70.3333        3.40114
            243            243        74.8699           70.5        3.40109
            244            244        75.0325        70.6667        3.40105
            245            245        75.1744        70.8333        3.40101
            246            246        75.3306             71        3.40097
            247            247        75.4894        71.1667        3.40093
            248            248         75.626        71.3333        3.40089
            249            249        75.7757           71.5        3.40084
            250            250        75.9227        71.6667         3.4008
            251            251         76.075        71.8333        3.40075
            252            252        76.2312             72        3.40071
            253            253         76.377        72.1667        3.40067
            254            254        76.5214        72.3333        3.40063
            255            255        76.6776           72.5         3.4006
            256            256        76.8246        72.6667        3.40057
            257            257        76.9717        72.8333        3.40053
            258            258        77.1175             73        3.40051
            259            259        77.2736        73.1667        3.40049
            260            260         77.422        73.3333        3.40046
            261            261        77.5665           73.5        3.40044
            262            262        77.7278        73.6667        3.40042
            263            263        77.8801        73.8333        3.40039
            264            264        78.0337             74        3.40035
            265            265        78.1872        74.1667        3.40031
            266            266        78.3369        74.3333        3.40027
            267            267        78.4905           74.5        3.40022
            268            268        78.6258        74.6667        3.40017
            269            269        78.7872        74.8333        3.40012
            270            270        78.9355             75        3.40006
            271            271        79.0865        75.1667        3.40002
            272            272        79.2283        75.3333        3.39998
            273            273        79.3754           75.5        3.39994
            274            274        79.5303        75.6667         3.3999
            275            275        79.6786        75.8333        3.39985
            276            276         79.827             76         3.3998
            277            277        79.9806        76.1667        3.39976
            278            278        80.1302        76.3333         3.3997
            279            279        80.2916           76.5        3.39966
            280            280        80.4296        76.6667        3.39962
            281            281        80.5909        76.8333        3.39958
            282            282        80.7315             77        3.39955
            283            283        80.8785        77.1667        3.39954
            284            284        81.0295        77.3333        3.39951
            285            285        81.1948           77.5        3.39949
            286            286        81.3405        77.6667        3.39947
            287            287        81.4837        77.8333        3.39944
            288            288        81.6307             78        3.39941
            289            289         81.783        78.1667        3.39936
            290            290        81.9287        78.3333        3.39932
            291            291         82.081           78.5        3.39926
            292            292        82.2319        78.6667         3.3992
            293            293        82.3894        78.8333        3.39913
            294            294        82.5482             79        3.39908
            295            295        82.6887        79.1667        3.39903
            296            296        82.8423        79.3333        3.39899
            297            297        82.9933           79.5        3.39895
            298            298        83.1416        79.6667        3.39891
            299            299        83.2873        79.8333        3.39889
            300            300        83.4435             80        3.39886
            301            301        83.5866        80.1667        3.39884
            302            302        83.7441        80.3333        3.39882
            303            303        83.8885           80.5        3.39879
            304            304        84.0421        80.6667        3.39876
            305            305        84.1957        80.8333        3.39873
            306            306        84.3479             81        3.39871
            307            307        84.4976        81.1667        3.39868
            308            308        84.6512        81.3333        3.39865
            309            309        84.8073           81.5        3.39863
            310            310        84.9648        81.6667         3.3986
            311            311        85.1053        81.8333        3.39858
            312            312        85.2602             82        3.39856
            313            313        85.4099        82.1667        3.39853
            314            314        85.5504        82.3333         3.3985
            315            315        85.7105           82.5        3.39846
            316            316        85.8549        82.6667        3.39842
            317            317        86.0046        82.8333        3.39839
            318            318        86.1633             83        3.39835
            319            319        86.3078        83.1667        3.39832
            320            320          86.46        83.3333        3.39829
            321            321        86.6084           83.5        3.39826
            322            322        86.7697        83.6667        3.39823
            323            323        86.9194        83.8333        3.39819
            324            324        87.0664             84        3.39816
            325            325        87.2278        84.1667        3.39812
            326            326          87.38        84.3333        3.39808
            327            327        87.5297           84.5        3.39803
            328            328        87.6754        84.6667        3.39798
            329            329        87.8147        84.8333        3.39793
            330            330        87.9682             85        3.39789
            331            331        88.1283        85.1667        3.39785
            332            332        88.2793        85.3333        3.39782
            333            333        88.4315           85.5        3.39778
            334            334        88.5942        85.6667        3.39775
            335            335        88.7451        85.8333        3.39773
            336            336        88.8883             86        3.39771
            337            337        89.0471        86.1667        3.39768
            338            338        89.1993        86.3333        3.39765
            339            339        89.3516           86.5        3.39762
            340            340         89.496        86.6667        3.39759
            341            341        89.6457        86.8333        3.39755
            342            342        89.7901             87        3.39752
            343            343        89.9463        87.1667        3.39749
            344            344        90.1076        87.3333        3.39745
            345            345        90.2534           87.5        3.39741
            346            346        90.4109        87.6667        3.39737
            347            347        90.5618        87.8333        3.39734
            348            348        90.7141             88        3.39731
            349            349        90.8546        88.1667        3.39728
            350            350        91.0082        88.3333        3.39726
            351            351        91.1617           88.5        3.39724
            352            352         91.327        88.6667        3.39722
            353            353        91.4688        88.8333        3.39719
            354            354        91.6224             89        3.39715
            355            355        91.7694        89.1667        3.39711
            356            356        91.9139        89.3333        3.39706
            357            357         92.074           89.5          3.397
            358            358        92.2288        89.6667        3.39695
            359            359        92.3706        89.8333         3.3969
            360            360        92.5294             90        3.39684
            361            361        92.6843        90.1667        3.39678
            362            362        92.8443        90.3333        3.39673
            363            363        92.9862           90.5        3.39667
            364            364        93.1436        90.6667        3.39662
            365            365        93.2972        90.8333        3.39656
            366            366        93.4312             91         3.3965
            367            367        93.5965        91.1667        3.39645
            368            368        93.7474        91.3333        3.39639
            369            369        93.9036           91.5        3.39635
            370            370        94.0519        91.6667        3.39631
            371            371        94.2055        91.8333        3.39627
            372            372        94.3617             92        3.39623
            373            373        94.5087        92.1667         3.3962
            374            374        94.6649        92.3333        3.39616
            375            375        94.8119           92.5        3.39611
            376            376        94.9537        92.6667        3.39606
            377            377        95.1177        92.8333        3.39601
            378            378        95.2739             93        3.39597
            379            379        95.4209        93.1667        3.39594
            380            380        95.5797        93.3333        3.39591
            381            381        95.7254           93.5         3.3959
            382            382        95.8803        93.6667        3.39587
            383            383        96.0325        93.8333        3.39586
            384            384        96.1821             94        3.39584
            385            385        96.3422        94.1667        3.39582
            386            386        96.4879        94.3333        3.39579
            387            387        96.6272           94.5        3.39576
            388            388        96.7951        94.6667        3.39572
            389            389        96.9408        94.8333        3.39569
            390            390         97.093             95        3.39567
            391            391        97.2518        95.1667        3.39566
            392            392        97.4054        95.3333        3.39565
            393            393        97.5563           95.5        3.39564
            394            394        97.7086        95.6667        3.39565
            395            395        97.8569        95.8333        3.39565
            396            396        98.0157             96        3.39563
            397            397        98.1614        96.1667        3.39562
            398            398        98.3189        96.3333        3.39558
            399            399        98.4737           96.5        3.39556
            400            400        98.6325        96.6667        3.39555
            401            401        98.7756        96.8333        3.39553
            402            402         98.924             97        3.39551
            403            403        99.0814        97.1667        3.39549
            404            404        99.2259        97.3333        3.39546
            405            405        99.3808           97.5        3.39544
            406            406         99.533        97.6667         3.3954
