Title                                                           27.01.2026 14:47
________________________________________________________________________________

Title


Curve Name:
  $INFILL-70
  Sample Weight
Curve Values:
          Index              t             Ts             Tr          Value
                           [s]           [°C]           [°C]           [mg]
              0              0        36.6472             30        3.41941
              1              1        36.6521        30.1667        3.41911
              2              2        36.6868        30.3333        3.41892
              3              3        36.7203           30.5        3.41881
              4              4        36.7967        30.6667        3.41877
              5              5        36.8835        30.8333        3.41884
              6              6         36.986             31        3.41898
              7              7        37.1092        31.1667        3.41914
              8              8        37.2337        31.3333        3.41961
              9              9        37.3699           31.5        3.41989
             10             10        37.5126        31.6667         3.4201
             11             11        37.6762        31.8333        3.42028
             12             12        37.8267             32        3.42035
             13             13        37.9706        32.1667        3.42042
             14             14        38.1302        32.3333        3.42046
             15             15        38.2898           32.5        3.42047
             16             16        38.4506        32.6667        3.42048
             17             17        38.6102        32.8333         3.4204
             18             18        38.7775             33        3.42038
             19             19         38.954        33.1667        3.42035
             20             20        39.1291        33.3333        3.42032
             21             21         39.286           33.5        3.42032
             22             22        39.4637        33.6667         3.4203
             23             23        39.6505        33.8333        3.42026
             24             24        39.8217             34        3.42023
             25             25        39.9916        34.1667        3.42018
             26             26        40.1693        34.3333        3.42014
             27             27        40.3521           34.5         3.4201
             28             28        40.5194        34.6667        3.42007
             29             29        40.7022        34.8333        3.42006
             30             30        40.8772             35        3.42004
             31             31        41.0575        35.1667        3.42002
             32             32        41.2338        35.3333           3.42
             33             33        41.4127           35.5           3.42
             34             34        41.5851        35.6667        3.41998
             35             35        41.7692        35.8333        3.41995
             36             36         41.935             36        3.41993
             37             37        42.1178        36.1667         3.4199
             38             38        42.3032        36.3333        3.41987
             39             39        42.4651           36.5        3.41985
             40             40        42.6309        36.6667        3.41983
             41             41        42.8124        36.8333        3.41982
             42             42         42.986             37        3.41982
             43             43        43.1609        37.1667        3.41983
             44             44        43.3358        37.3333        3.41984
             45             45        43.5068           37.5        3.41987
             46             46        43.6739        37.6667        3.41988
             47             47         43.841        37.8333        3.41988
             48             48        44.0145             38        3.41987
             49             49        44.1894        38.1667        3.41986
             50             50        44.3656        38.3333         3.4198
             51             51        44.5222           38.5        3.41976
             52             52        44.6971        38.6667        3.41971
             53             53        44.8615        38.8333        3.41966
             54             54        45.0337             39        3.41959
             55             55        45.1994        39.1667        3.41954
             56             56        45.3625        39.3333        3.41949
             57             57        45.5322           39.5        3.41943
             58             58        45.7005        39.6667        3.41938
             59             59        45.8688        39.8333        3.41932
             60             60         46.024             40        3.41926
             61             61        46.1988        40.1667        3.41921
             62             62        46.3541        40.3333        3.41914
             63             63        46.5315           40.5        3.41908
             64             64        46.6776        40.6667        3.41902
             65             65        46.8576        40.8333        3.41897
             66             66        47.0298             41        3.41892
             67             67         47.185        41.1667        3.41887
             68             68        47.3493        41.3333        3.41883
