Title                                                           13.02.2026 11:54
________________________________________________________________________________

Title


Curve Name:
  $D80-TN220-V50-TB80
  Sample Weight
Curve Values:
          Index              t             Ts             Tr          Value
                           [s]           [°C]           [°C]           [mg]
              0              0        36.8006             30        1.61045
              1              1        36.8301        30.1667         1.6109
              2              2        36.8441        30.3333        1.61132
              3              3        36.8919           30.5        1.61171
              4              4        36.9592        30.6667        1.61225
              5              5        37.0382        30.8333        1.61251
              6              6        37.1432             31        1.61265
              7              7        37.2599        31.1667        1.61272
              8              8        37.3727        31.3333        1.61232
              9              9        37.5011           31.5         1.6121
             10             10        37.6373        31.6667        1.61188
             11             11        37.7852        31.8333        1.61163
             12             12        37.9253             32         1.6113
             13             13        38.0862        32.1667        1.61103
             14             14        38.2328        32.3333        1.61076
             15             15        38.3832           32.5         1.6105
             16             16        38.5415        32.6667        1.61029
             17             17         38.718        32.8333        1.61009
             18             18        38.8788             33        1.60989
             19             19        39.0422        33.1667         1.6097
             20             20        39.2134        33.3333        1.60959
             21             21        39.3768           33.5        1.60946
             22             22        39.5611        33.6667        1.60934
             23             23        39.7283        33.8333        1.60923
             24             24         39.893             34        1.60914
             25             25        40.0746        34.1667        1.60904
             26             26        40.2575        34.3333        1.60895
             27             27        40.4247           34.5        1.60886
             28             28        40.6024        34.6667        1.60879
             29             29        40.7878        34.8333        1.60873
             30             30         40.955             35        1.60867
             31             31        41.1314        35.1667        1.60863
             32             32        41.3129        35.3333        1.60862
             33             33        41.4853           35.5         1.6086
             34             34         41.672        35.6667        1.60857
             35             35        41.8353        35.8333        1.60855
             36             36        42.0193             36        1.60853
             37             37        42.1878        36.1667        1.60852
             38             38        42.3745        36.3333         1.6085
             39             39        42.5468           36.5        1.60848
             40             40        42.7166        36.6667        1.60845
             41             41        42.8941        36.8333        1.60842
             42             42        43.0781             37        1.60838
             43             43         43.253        37.1667        1.60835
             44             44        43.4319        37.3333         1.6083
             45             45         43.595           37.5        1.60826
             46             46        43.7712        37.6667        1.60822
             47             47        43.9461        37.8333        1.60819
             48             48        44.1184             38        1.60816
             49             49        44.3024        38.1667        1.60814
             50             50        44.4577        38.3333        1.60812
             51             51        44.6169           38.5        1.60809
             52             52        44.7944        38.6667        1.60808
             53             53        44.9627        38.8333        1.60805
             54             54         45.135             39        1.60802
             55             55        45.3059        39.1667        1.60799
             56             56        45.4716        39.3333        1.60796
             57             57        45.6412           39.5        1.60793
             58             58        45.8043        39.6667         1.6079
             59             59        45.9713        39.8333        1.60787
             60             60        46.1318             40        1.60784
             61             61        46.3066        40.1667        1.60781
             62             62        46.4749        40.3333        1.60779
             63             63        46.6301           40.5        1.60778
             64             64        46.7945        40.6667        1.60777
             65             65        46.9666        40.8333        1.60776
             66             66        47.1362             41        1.60775
             67             67        47.2953        41.1667        1.60774
             68             68         47.461        41.3333        1.60775
             69             69        47.6123           41.5        1.60775
             70             70        47.7831        41.6667        1.60774
             71             71        47.9423        41.8333        1.60774
             72             72        48.1053             42        1.60772
             73             73        48.2826        42.1667        1.60771
             74             74        48.4378        42.3333        1.60769
             75             75        48.5956           42.5        1.60767
             76             76        48.7625        42.6667        1.60764
             77             77         48.932        42.8333        1.60762
             78             78         49.095             43         1.6076
             79             79        49.2593        43.1667        1.60758
             80             80        49.4183        43.3333        1.60756
             81             81        49.5839           43.5        1.60754
             82             82        49.7521        43.6667        1.60753
             83             83        49.9125        43.8333        1.60753
             84             84        50.0754             44        1.60753
             85             85        50.2514        44.1667        1.60752
             86             86        50.4052        44.3333        1.60751
             87             87        50.5708           44.5         1.6075
             88             88        50.7233        44.6667         1.6075
             89             89        50.8863        44.8333        1.60748
             90             90        51.0596             45        1.60746
             91             91        51.2134        45.1667        1.60744
             92             92         51.379        45.3333        1.60746
             93             93        51.5445           45.5        1.60748
             94             94        51.7035        45.6667         1.6075
             95             95        51.8586        45.8333        1.60751
             96             96        52.0267             46        1.60754
             97             97        52.1818        46.1667        1.60755
             98             98        52.3499        46.3333        1.60756
             99             99        52.5181           46.5        1.60756
            100            100        52.6849        46.6667        1.60753
            101            101        52.8426        46.8333        1.60753
            102            102         53.012             47        1.60752
            103            103        53.1722        47.1667         1.6075
            104            104        53.3312        47.3333        1.60748
            105            105        53.4915           47.5        1.60745
            106            106         53.657        47.6667        1.60743
            107            107         53.812        47.8333        1.60741
            108            108         53.971             48        1.60738
            109            109        54.1391        48.1667        1.60735
            110            110        54.3059        48.3333        1.60732
            111            111        54.4726           48.5         1.6073
            112            112        54.6277        48.6667        1.60728
            113            113        54.7814        48.8333        1.60726
            114            114        54.9325             49        1.60724
            115            115        55.1136        49.1667        1.60721
            116            116        55.2752        49.3333        1.60719
            117            117        55.4237           49.5        1.60717
            118            118        55.5866        49.6667        1.60715
            119            119        55.7585        49.8333        1.60712
            120            120        55.9044             50         1.6071
            121            121        56.0712        50.1667        1.60707
            122            122        56.2327        50.3333        1.60705
            123            123        56.3916           50.5        1.60703
            124            124        56.5505        50.6667        1.60702
            125            125        56.7095        50.8333          1.607
            126            126        56.8619             51        1.60698
            127            127        57.0247        51.1667        1.60696
            128            128        57.1836        51.3333        1.60694
            129            129        57.3412           51.5        1.60691
            130            130        57.5131        51.6667        1.60689
            131            131        57.6629        51.8333        1.60687
            132            132        57.8244             52        1.60684
            133            133        57.9912        52.1667        1.60682
            134            134        58.1461        52.3333         1.6068
            135            135        58.3024           52.5        1.60679
            136            136        58.4561        52.6667        1.60678
            137            137        58.6137        52.8333        1.60677
            138            138        58.7791             53        1.60678
            139            139        58.9328        53.1667        1.60678
            140            140        59.0943        53.3333        1.60678
            141            141        59.2584           53.5        1.60678
            142            142        59.4095        53.6667        1.60678
            143            143         59.567        53.8333        1.60678
            144            144        59.7246             54        1.60678
            145            145        59.8809        54.1667        1.60677
            146            146        60.0384        54.3333        1.60675
            147            147        60.1999           54.5        1.60674
            148            148        60.3549        54.6667        1.60672
            149            149        60.5086        54.8333         1.6067
            150            150          60.67             55        1.60667
            151            151        60.8341        55.1667        1.60665
            152            152        60.9878        55.3333        1.60664
            153            153        61.1388           55.5        1.60663
            154            154        61.2912        55.6667        1.60663
            155            155        61.4539        55.8333        1.60663
            156            156        61.6141             56        1.60662
            157            157        61.7625        56.1667        1.60662
            158            158        61.9136        56.3333        1.60661
            159            159        62.0659           56.5        1.60661
            160            160        62.2313        56.6667        1.60661
            161            161        62.3875        56.8333        1.60662
            162            162        62.5451             57        1.60663
            163            163        62.6948        57.1667        1.60663
            164            164        62.8446        57.3333        1.60663
            165            165        62.9995           57.5        1.60662
            166            166         63.157        57.6667        1.60661
            167            167         63.312        57.8333        1.60659
            168            168        63.4695             58        1.60656
            169            169        63.6141        58.1667        1.60654
            170            170        63.7755        58.3333        1.60651
            171            171        63.9213           58.5        1.60647
            172            172        64.0788        58.6667        1.60644
            173            173        64.2312        58.8333        1.60642
            174            174          64.39             59         1.6064
            175            175         64.541        59.1667        1.60636
            176            176        64.6959        59.3333        1.60633
            177            177        64.8496           59.5         1.6063
            178            178        65.0136        59.6667        1.60627
            179            179         65.149        59.8333        1.60622
            180            180        65.3104             60        1.60619
            181            181        65.4562        60.1667        1.60616
            182            182        65.6085        60.3333        1.60614
            183            183          65.77           60.5        1.60612
            184            184        65.9132        60.6667        1.60609
            185            185        66.0694        60.8333        1.60606
            186            186        66.2282             61        1.60603
            187            187         66.374        61.1667        1.60599
            188            188        66.5406        61.3333        1.60597
            189            189        66.6864           61.5        1.60595
            190            190        66.8465        61.6667        1.60595
            191            191        66.9806        61.8333        1.60595
            192            192        67.1329             62        1.60595
            193            193        67.2892        62.1667        1.60595
            194            194        67.4428        62.3333        1.60595
            195            195        67.6003           62.5        1.60596
            196            196        67.7487        62.6667        1.60597
            197            197        67.9036        62.8333        1.60598
            198            198         68.048             63        1.60599
            199            199        68.2095        63.1667        1.60599
            200            200        68.3579        63.3333        1.60598
            201            201         68.501           63.5        1.60596
            202            202         68.652        63.6667        1.60594
            203            203        68.8161        63.8333        1.60592
            204            204        68.9723             64        1.60588
            205            205        69.1128        64.1667        1.60585
            206            206        69.2807        64.3333        1.60582
            207            207        69.4213           64.5        1.60579
            208            208         69.571        64.6667        1.60576
            209            209        69.7181        64.8333        1.60573
            210            210        69.8717             65        1.60569
            211            211        70.0357        65.1667        1.60566
            212            212        70.1841        65.3333        1.60563
            213            213         70.326           65.5         1.6056
            214            214        70.4809        65.6667        1.60558
            215            215        70.6305        65.8333        1.60556
            216            216        70.7906             66        1.60556
            217            217        70.9351        66.1667        1.60554
            218            218        71.0861        66.3333        1.60553
            219            219         71.241           66.5        1.60552
            220            220        71.3802        66.6667        1.60551
            221            221        71.5312        66.8333         1.6055
            222            222        71.7017             67        1.60549
            223            223        71.8462        67.1667        1.60547
            224            224         71.992        67.3333        1.60544
            225            225        72.1456           67.5        1.60541
            226            226        72.2939        67.6667        1.60538
            227            227        72.4475        67.8333        1.60535
            228            228        72.5998             68        1.60532
            229            229        72.7482        68.1667        1.60529
            230            230        72.8979        68.3333        1.60527
            231            231        73.0488           68.5        1.60524
            232            232         73.192        68.6667        1.60523
            233            233        73.3495        68.8333         1.6052
            234            234        73.4927             69        1.60517
            235            235        73.6345        69.1667        1.60513
            236            236        73.7842        69.3333         1.6051
            237            237         73.943           69.5        1.60506
            238            238         74.094        69.6667        1.60502
            239            239        74.2488        69.8333        1.60499
            240            240         74.392             70        1.60495
            241            241        74.5521        70.1667        1.60493
            242            242        74.7069        70.3333         1.6049
            243            243        74.8449           70.5        1.60486
            244            244        74.9998        70.6667        1.60483
            245            245        75.1468        70.8333         1.6048
            246            246        75.3017             71        1.60477
            247            247        75.4553        71.1667        1.60474
            248            248        75.5971        71.3333        1.60469
            249            249        75.7598           71.5        1.60465
            250            250        75.9056        71.6667        1.60461
            251            251        76.0539        71.8333        1.60457
            252            252        76.1984             72        1.60453
            253            253        76.3585        72.1667        1.60448
            254            254         76.512        72.3333        1.60444
            255            255         76.663           72.5         1.6044
            256            256        76.8049        72.6667        1.60437
            257            257        76.9532        72.8333        1.60433
            258            258        77.1003             73        1.60428
            259            259        77.2525        73.1667        1.60423
            260            260        77.4061        73.3333        1.60418
            261            261        77.5467           73.5        1.60412
            262            262        77.7159        73.6667        1.60407
            263            263        77.8564        73.8333        1.60404
            264            264          78.01             74        1.60401
            265            265        78.1532        74.1667        1.60399
            266            266        78.3015        74.3333        1.60395
            267            267        78.4551           74.5         1.6039
            268            268        78.6048        74.6667        1.60385
            269            269        78.7609        74.8333        1.60379
            270            270        78.9145             75        1.60375
            271            271        79.0615        75.1667        1.60372
            272            272        79.2099        75.3333        1.60369
            273            273        79.3569           75.5        1.60367
            274            274        79.5105        75.6667        1.60365
            275            275        79.6706        75.8333        1.60363
            276            276        79.8203             76         1.6036
            277            277        79.9699        76.1667        1.60358
            278            278        80.1209        76.3333        1.60355
            279            279        80.2653           76.5        1.60352
            280            280        80.4202        76.6667        1.60348
            281            281        80.5686        76.8333        1.60344
            282            282        80.7182             77        1.60341
            283            283        80.8653        77.1667        1.60338
            284            284        81.0149        77.3333        1.60335
            285            285        81.1763           77.5        1.60332
            286            286        81.3182        77.6667        1.60329
            287            287        81.4691        77.8333        1.60327
            288            288         81.611             78        1.60324
            289            289        81.7723        78.1667        1.60322
            290            290        81.9233        78.3333         1.6032
            291            291        82.0755           78.5        1.60319
            292            292        82.2304        78.6667        1.60318
            293            293        82.3722        78.8333        1.60316
            294            294        82.5232             79        1.60314
            295            295        82.6716        79.1667        1.60313
            296            296        82.8251        79.3333        1.60312
            297            297        82.9826           79.5        1.60308
            298            298        83.1232        79.6667        1.60305
            299            299        83.2741        79.8333        1.60303
            300            300        83.4277             80          1.603
            301            301        83.5786        80.1667        1.60297
            302            302        83.7218        80.3333        1.60295
            303            303        83.8779           80.5        1.60294
            304            304        84.0328        80.6667        1.60294
            305            305        84.1903        80.8333        1.60293
            306            306        84.3399             81        1.60291
            307            307        84.4896        81.1667        1.60288
            308            308        84.6444        81.3333        1.60285
            309            309        84.7928           81.5        1.60281
            310            310        84.9412        81.6667        1.60277
            311            311        85.0882        81.8333        1.60274
            312            312        85.2418             82        1.60271
            313            313        85.3914        82.1667        1.60267
            314            314        85.5424        82.3333        1.60264
            315            315        85.6972           82.5         1.6026
            316            316        85.8495        82.6667        1.60256
            317            317        85.9992        82.8333        1.60252
            318            318        86.1566             83        1.60249
            319            319        86.3076        83.1667        1.60246
            320            320        86.4546        83.3333        1.60242
            321            321        86.6017           83.5        1.60239
            322            322        86.7526        83.6667        1.60234
