Title                                                           12.02.2026 11:14
________________________________________________________________________________

Title


Curve Name:
  $D60-TN200-V70-TB60
  Sample Weight
Curve Values:
          Index              t             Ts             Tr          Value
                           [s]           [°C]           [°C]           [mg]
              0              0        37.0942             30        2.64947
              1              1         37.099        30.1667        2.64925
              2              2        37.1143        30.3333        2.64914
              3              3        37.1517           30.5         2.6491
              4              4        37.2216        30.6667        2.64916
              5              5        37.3058        30.8333        2.64931
              6              6        37.4056             31        2.64953
              7              7        37.5275        31.1667        2.64977
              8              8        37.6377        31.3333        2.65029
              9              9        37.7609           31.5        2.65063
             10             10         37.888        31.6667         2.6509
             11             11        38.0281        31.8333        2.65115
             12             12         38.176             32        2.65126
             13             13        38.3277        32.1667        2.65139
             14             14        38.4834        32.3333        2.65149
             15             15        38.6404           32.5        2.65157
             16             16        38.7934        32.6667        2.65154
             17             17        38.9582        32.8333        2.65154
             18             18        39.1177             33        2.65154
             19             19        39.2837        33.1667        2.65152
             20             20        39.4459        33.3333        2.65148
             21             21        39.6158           33.5        2.65147
             22             22        39.7779        33.6667        2.65146
             23             23        39.9516        33.8333        2.65145
             24             24        40.1254             34        2.65145
             25             25        40.2927        34.1667        2.65143
             26             26         40.469        34.3333        2.65142
             27             27        40.6415           34.5        2.65141
             28             28        40.8048        34.6667        2.65141
             29             29        40.9786        34.8333        2.65142
             30             30        41.1549             35        2.65142
             31             31        41.3312        35.1667        2.65143
             32             32        41.5153        35.3333        2.65145
             33             33        41.6799           35.5        2.65147
             34             34        41.8575        35.6667        2.65149
             35             35        42.0195        35.8333         2.6515
             36             36        42.1983             36        2.65153
             37             37        42.3733        36.1667        2.65155
             38             38        42.5443        36.3333        2.65157
             39             39        42.7193           36.5        2.65158
             40             40        42.8903        36.6667         2.6516
             41             41        43.0601        36.8333        2.65161
             42             42        43.2376             37        2.65162
             43             43        43.4047        37.1667        2.65163
             44             44        43.5731        37.3333        2.65163
             45             45         43.735           37.5        2.65163
             46             46         43.906        37.6667        2.65164
             47             47         44.073        37.8333        2.65164
             48             48         44.244             38        2.65164
             49             49        44.4059        38.1667        2.65164
             50             50        44.5729        38.3333        2.65165
             51             51        44.7452           38.5        2.65167
             52             52        44.9239        38.6667        2.65169
             53             53        45.0818        38.8333        2.65171
             54             54        45.2502             39        2.65174
             55             55         45.412        39.1667        2.65178
             56             56        45.5738        39.3333        2.65187
             57             57        45.7356           39.5        2.65197
             58             58           45.9        39.6667        2.65206
             59             59        46.0592        39.8333        2.65214
             60             60        46.2353             40        2.65226
             61             61         46.397        40.1667        2.65234
             62             62        46.5627        40.3333        2.65239
             63             63        46.7297           40.5        2.65243
             64             64         46.894        40.6667        2.65241
             65             65         47.061        40.8333        2.65241
             66             66        47.2215             41        2.65241
             67             67        47.3832        41.1667         2.6524
             68             68         47.554        41.3333        2.65239
             69             69         47.721           41.5        2.65238
             70             70        47.8723        41.6667        2.65238
             71             71        48.0314        41.8333        2.65238
             72             72        48.2061             42        2.65238
             73             73        48.3731        42.1667        2.65237
             74             74        48.5283        42.3333        2.65237
             75             75        48.6913           42.5        2.65236
             76             76        48.8465        42.6667        2.65236
             77             77        49.0134        42.8333        2.65236
             78             78        49.1816             43        2.65236
             79             79        49.3419        43.1667        2.65237
             80             80        49.5127        43.3333        2.65238
             81             81        49.6731           43.5        2.65239
             82             82         49.823        43.6667         2.6524
             83             83        49.9886        43.8333         2.6524
             84             84        50.1516             44        2.65239
             85             85        50.3067        44.1667        2.65239
             86             86        50.4827        44.3333         2.6524
             87             87        50.6456           44.5        2.65241
             88             88        50.8138        44.6667        2.65242
             89             89        50.9767        44.8333        2.65243
             90             90        51.1371             45        2.65244
             91             91        51.2922        45.1667        2.65246
             92             92        51.4486        45.3333        2.65248
             93             93        51.6063           45.5        2.65249
             94             94        51.7783        45.6667        2.65251
             95             95        51.9517        45.8333        2.65252
             96             96        52.1042             46        2.65253
             97             97        52.2632        46.1667        2.65253
             98             98        52.4248        46.3333        2.65253
             99             99        52.5942           46.5        2.65254
            100            100         52.748        46.6667        2.65253
            101            101         52.907        46.8333        2.65253
            102            102        53.0607             47        2.65253
            103            103        53.2288        47.1667        2.65253
            104            104        53.3943        47.3333        2.65252
            105            105        53.5572           47.5        2.65251
            106            106        53.7175        47.6667         2.6525
            107            107        53.8778        47.8333        2.65249
            108            108        54.0328             48        2.65247
            109            109        54.1866        48.1667        2.65246
            110            110        54.3533        48.3333        2.65245
            111            111        54.5149           48.5        2.65245
            112            112        54.6804        48.6667        2.65245
            113            113        54.8315        48.8333        2.65245
            114            114        55.0035             49        2.65244
            115            115        55.1663        49.1667        2.65243
            116            116        55.3266        49.3333        2.65242
            117            117        55.4842           49.5        2.65241
            118            118        55.6379        49.6667         2.6524
            119            119        55.8086        49.8333        2.65239
            120            120        55.9675             50        2.65239
            121            121        56.1251        50.1667        2.65239
            122            122        56.2867        50.3333         2.6524
            123            123         56.456           50.5         2.6524
            124            124        56.6084        50.6667        2.65243
            125            125        56.7517        50.8333        2.65244
            126            126        56.9119             51        2.65246
            127            127        57.0761        51.1667        2.65247
            128            128        57.2376        51.3333        2.65248
            129            129        57.3913           51.5        2.65248
            130            130        57.5554        51.6667        2.65249
            131            131        57.7117        51.8333        2.65249
            132            132        57.8797             52        2.65249
            133            133        58.0243        52.1667        2.65249
            134            134        58.1806        52.3333        2.65249
            135            135        58.3447           52.5         2.6525
            136            136        58.4997        52.6667        2.65251
            137            137        58.6494        52.8333        2.65253
            138            138        58.8161             53        2.65254
            139            139        58.9737        53.1667        2.65254
            140            140        59.1274        53.3333        2.65255
            141            141        59.2837           53.5        2.65255
            142            142        59.4439        53.6667        2.65256
            143            143        59.5923        53.8333        2.65257
            144            144        59.7499             54        2.65257
            145            145        59.9101        54.1667        2.65257
            146            146        60.0677        54.3333        2.65257
            147            147        60.2226           54.5        2.65257
            148            148        60.3789        54.6667        2.65256
            149            149        60.5313        54.8333        2.65255
            150            150        60.6771             55        2.65254
            151            151        60.8516        55.1667        2.65253
            152            152        60.9988        55.3333        2.65253
            153            153        61.1524           55.5        2.65254
            154            154        61.3087        55.6667        2.65255
            155            155        61.4649        55.8333        2.65256
            156            156        61.6212             56        2.65258
            157            157        61.7762        56.1667        2.65261
            158            158        61.9337        56.3333        2.65264
            159            159        62.0874           56.5        2.65266
            160            160        62.2306        56.6667        2.65267
            161            161        62.4012        56.8333        2.65268
            162            162        62.5431             57        2.65268
            163            163        62.6928        57.1667        2.65268
            164            164        62.8582        57.3333        2.65268
            165            165        63.0105           57.5        2.65267
            166            166         63.168        57.6667        2.65265
            167            167        63.3139        57.8333        2.65262
            168            168        63.4701             58        2.65259
            169            169        63.6172        58.1667        2.65256
            170            170         63.767        58.3333        2.65253
            171            171        63.9245           58.5        2.65249
            172            172         64.082        58.6667        2.65247
            173            173        64.2383        58.8333        2.65244
            174            174        64.3945             59        2.65243
            175            175        64.5429        59.1667        2.65242
            176            176        64.6913        59.3333         2.6524
            177            177         64.841           59.5        2.65239
            178            178        65.0129        59.6667        2.65239
            179            179        65.1574        59.8333        2.65238
            180            180        65.3188             60        2.65238
            181            181        65.4633        60.1667        2.65237
            182            182        65.6196        60.3333        2.65236
            183            183        65.7628           60.5        2.65235
            184            184        65.9242        60.6667        2.65234
            185            185        66.0765        60.8333        2.65233
            186            186        66.2301             61        2.65232
            187            187        66.3746        61.1667        2.65232
            188            188        66.5399        61.3333        2.65233
            189            189        66.6909           61.5        2.65233
            190            190        66.8328        61.6667        2.65236
            191            191        66.9851        61.8333        2.65238
            192            192         67.144             62        2.65241
            193            193        67.2936        62.1667        2.65243
            194            194        67.4212        62.3333        2.65246
            195            195        67.5956           62.5        2.65249
            196            196        67.7388        62.6667        2.65252
            197            197        67.8898        62.8333        2.65253
            198            198        68.0369             63        2.65255
            199            199        68.1957        63.1667        2.65254
            200            200        68.3493        63.3333        2.65254
            201            201        68.4938           63.5        2.65253
            202            202        68.6487        63.6667        2.65252
            203            203        68.7971        63.8333        2.65249
            204            204        68.9481             64        2.65247
            205            205         69.103        64.1667        2.65246
            206            206         69.254        64.3333        2.65245
            207            207        69.3998           64.5        2.65244
            208            208        69.5573        64.6667        2.65243
            209            209        69.7109        64.8333        2.65242
            210            210        69.8593             65        2.65242
            211            211        70.0181        65.1667        2.65243
            212            212        70.1612        65.3333        2.65243
            213            213        70.3161           65.5        2.65243
            214            214        70.4671        65.6667        2.65243
            215            215        70.6181        65.8333        2.65244
            216            216        70.7704             66        2.65245
            217            217        70.9175        66.1667        2.65246
            218            218        71.0607        66.3333        2.65246
            219            219         71.213           66.5        2.65248
            220            220        71.3691        66.6667         2.6525
            221            221        71.5162        66.8333        2.65251
            222            222        71.6698             67        2.65252
            223            223        71.8169        67.1667        2.65253
            224            224        71.9679        67.3333        2.65254
            225            225        72.1202           67.5        2.65255
            226            226        72.2763        67.6667        2.65255
            227            227        72.4143        67.8333        2.65256
            228            228        72.5679             68        2.65257
            229            229         72.728        68.1667        2.65257
            230            230        72.8842        68.3333        2.65258
            231            231        73.0273           68.5        2.65259
            232            232        73.1874        68.6667        2.65261
            233            233        73.3345        68.8333        2.65262
            234            234         73.475             69        2.65263
            235            235        73.6273        69.1667        2.65264
            236            236        73.7861        69.3333        2.65264
            237            237        73.9319           69.5        2.65264
            238            238        74.0828        69.6667        2.65265
            239            239        74.2364        69.8333        2.65265
            240            240        74.3887             70        2.65265
            241            241        74.5409        70.1667        2.65265
            242            242        74.6815        70.3333        2.65265
            243            243        74.8377           70.5        2.65265
            244            244        74.9795        70.6667        2.65266
            245            245        75.1331        70.8333        2.65267
            246            246        75.2854             71        2.65268
            247            247        75.4363        71.1667        2.65269
            248            248        75.5808        71.3333         2.6527
            249            249        75.7292           71.5         2.6527
            250            250        75.8775        71.6667         2.6527
            251            251         76.035        71.8333        2.65269
            252            252        76.1782             72        2.65268
            253            253        76.3357        72.1667        2.65268
            254            254         76.484        72.3333        2.65268
            255            255        76.6324           72.5        2.65267
            256            256        76.7847        72.6667        2.65266
            257            257        76.9304        72.8333        2.65265
            258            258        77.0801             73        2.65266
            259            259        77.2324        73.1667        2.65266
            260            260        77.3742        73.3333        2.65266
            261            261        77.5304           73.5        2.65268
            262            262          77.68        73.6667        2.65269
            263            263        77.8232        73.8333        2.65269
            264            264        77.9833             74        2.65269
            265            265        78.1355        74.1667        2.65269
            266            266        78.2722        74.3333        2.65269
            267            267        78.4349           74.5        2.65268
            268            268        78.5858        74.6667        2.65268
            269            269        78.7342        74.8333        2.65267
            270            270        78.8799             75        2.65266
            271            271        79.0387        75.1667        2.65265
            272            272        79.1818        75.3333        2.65265
            273            273        79.3328           75.5        2.65265
            274            274        79.4864        75.6667        2.65264
            275            275          79.64        75.8333        2.65264
            276            276        79.7883             76        2.65264
            277            277         79.925        76.1667        2.65265
            278            278        80.0785        76.3333        2.65265
            279            279        80.2425           76.5        2.65266
            280            280        80.3961        76.6667        2.65267
            281            281        80.5366        76.8333        2.65269
            282            282        80.6863             77         2.6527
            283            283        80.8347        77.1667        2.65272
            284            284         80.983        77.3333        2.65273
            285            285        81.1353           77.5        2.65275
            286            286        81.2889        77.6667        2.65276
            287            287         81.445        77.8333        2.65278
            288            288        81.5921             78        2.65279
            289            289        81.7313        78.1667        2.65281
            290            290        81.9018        78.3333        2.65283
            291            291        82.0306           78.5        2.65285
            292            292        82.1933        78.6667        2.65286
            293            293        82.3443        78.8333        2.65286
            294            294        82.5005             79        2.65287
            295            295        82.6436        79.1667        2.65287
            296            296        82.7998        79.3333        2.65288
            297            297        82.9351           79.5        2.65288
            298            298        83.0938        79.6667        2.65287
            299            299        83.2422        79.8333        2.65287
            300            300        83.3919             80        2.65286
            301            301        83.5402        80.1667        2.65286
            302            302         83.699        80.3333        2.65285
            303            303        83.8578           80.5        2.65285
